id,gender,star_sign,phone_os,height,weight,sleepiness,iq,fb_friends,yt,self_intro,bmi
1,0,9.0,0.0,159.974,100.0,1.0,87.0,87.0,87.0,GOod,39.07519840765303
2,0,3.0,0.0,175.0,80.0,3.0,130.0,2000.0,30.0,Easygoing,26.122448979591837
3,0,4.0,0.0,155.0,45.0,3.0,150.0,400.0,9.0,I LOVE INTEL,18.730489073881373
4,0,7.0,0.0,173.0,85.0,4.0,100.0,2000.0,15.0,"I'm a hard-work man, just do my best to finish anything.",28.40054796351365
5,0,10.0,1.0,164.0,57.0,4.0,130.0,505.0,2.0,I'm smart,21.192742415229034
6,0,2.0,0.0,178.0,88.0,4.0,80.0,700.0,2.87,A 20 years old Electrical Engineering student.,27.77427092538821
7,0,3.0,1.0,174.0,55.0,2.0,120.0,150.0,0.0,I am hungry.,18.166204254194742
8,0,2.0,1.0,170.0,82.0,2.0,87.0,300.0,2.0,Friendly,28.373702422145332
9,0,9.0,0.0,165.0,46.0,4.0,111.0,200.0,5.0,I am a student.,16.896235078053262
10,0,6.0,0.0,178.0,59.4,4.0,187.0,287.0,20.0,nice,18.74763287463704
11,0,8.0,1.0,190.0,89.0,2.0,120.0,185.0,0.0,A man with arrogance.,24.653739612188367
12,0,5.0,1.0,175.0,66.0,3.0,130.0,600.0,50.0,Handsome,21.551020408163264
13,0,2.0,0.0,185.0,60.0,5.0,180.0,0.0,60.0,Adorable,17.531044558071585
14,0,11.0,0.0,173.5,71.0,2.0,130.0,1296.0,181.0,"I am sporty, who loves to play basketball",23.586276773330898
15,0,7.0,1.0,166.0,70.0,1.0,100.0,0.0,1.5,I'm in a group of idiots.,25.402816083611555
16,0,4.8,1.0,188.0,20.0,3.8,88.0,2e+97,2e+21,A young girl,5.658669081032142
17,0,2.0,0.0,180.0,60.0,2.0,200.0,461.0,14.2,Handsome,18.51851851851852
18,0,11.0,1.0,159.0,46.0,2.0,87.0,823.0,0.02,Versatile,18.19548277362446
19,0,2.0,0.0,174.0,62.0,4.0,128.0,626.0,7.1,Enterprising,20.478266613819528
20,0,9.0,1.0,171.0,64.0,4.0,130.0,360.0,5.0,Excellent,21.887076365377382
21,0,3.0,0.0,175.0,80.0,3.0,140.0,300.0,1.0,handsome boy,26.122448979591837
22,0,1.0,1.0,165.0,60.0,2.0,120.0,849.0,1.0,Love to eat,22.03856749311295
23,0,5.0,0.0,173.0,70.0,4.0,120.0,200.0,2.0,not bad,23.38868655818771
24,0,2.0,1.0,171.0,55.0,3.0,125.0,555.0,3.0,real,18.80920625149619
25,0,5.0,0.0,173.0,70.0,4.0,120.0,200.0,2.0,not bad,23.38868655818771
26,0,9.0,1.0,181.0,65.0,3.0,87.0,400.0,1.0,Hahahahaha,19.840664204389366
27,0,6.0,0.0,173.0,70.0,5.0,126.0,250.0,0.1,I am a good man.,23.38868655818771
28,0,11.0,0.0,178.0,67.0,5.0,200.0,491.0,0.088,YOU ARE (NOT) ALONE.,21.146319909102385
29,0,1.0,0.0,172.0,69.0,4.0,128.0,1000.0,13.6667,Excellent,23.323418063818284
30,0,9.0,1.0,165.0,60.0,5.0,120.0,462.0,2.36,I'm decent and sincere.,22.03856749311295
31,0,5.0,1.0,170.0,57.0,4.0,167.0,437.0,0.008,Versatile guy,19.723183391003463
32,0,1.0,0.0,153.0,52.0,4.0,180.0,465.0,7.6,Aggressive,22.21367849972233
33,0,5.0,0.0,180.0,70.0,5.0,180.0,600.0,10.0,Iâ€™m handsome,21.604938271604937
34,0,5.0,1.0,174.2,59.0,4.0,139.1998,2e+97,2e+21,I'm boring,19.442661285113775
35,0,1.0,1.0,187.0,66.0,4.0,150.0,150.0,0.1,Tall,18.873859704309528
36,0,2.0,1.0,150.0,45.0,4.0,80.0,200.0,0.5,fabulous,20.0
37,0,10.0,0.0,176.0,90.0,3.0,120.0,705.0,11.0,Eating is my life for good.,29.054752066115704
38,0,10.0,1.0,177.0,64.0,3.0,125.0,30.0,10.0,I can not speak English,20.428357113217785
39,0,10.0,0.0,171.0,72.0,5.0,100.0,80.0,1.0,Work hard,24.622960911049557
40,0,6.0,1.0,165.0,65.0,3.0,130.0,649.0,0.8,I have perseverance!,23.875114784205696
41,0,6.0,1.0,178.0,71.0,3.0,87.0,400.0,18.0,A shy boy.,22.408786769347305
42,0,6.0,1.0,172.0,59.0,1.0,180.0,600.0,3.0,Very Handsome.,19.94321254732288
43,0,6.0,0.0,172.0,55.6,3.0,199.0,200.0,0.05,I donâ€™t know,18.793942671714444
44,0,11.0,0.0,171.0,60.0,2.0,125.0,749.0,2.6,good man,20.519134092541297
45,0,1.0,0.0,165.0,45.0,5.0,80.0,869.0,5.0,Introvert,16.528925619834713
46,0,11.0,0.0,174.0,62.0,3.0,110.0,487.0,15.0,You can do it,20.478266613819528
47,0,8.0,1.0,172.0,52.0,2.0,200.0,488.0,1.6,For honor,17.577068685776098
48,0,11.0,1.0,163.0,54.0,3.0,107.0,393.0,0.0,Love what I choose.,20.32443825510934
49,0,9.0,1.0,156.0,50.0,2.0,110.0,873.0,1.0,Hi,20.5456936226167
50,0,4.0,0.0,165.0,50.0,1.0,100.0,1859.0,10.0,Hello.,18.36547291092746
51,0,4.0,0.0,166.0,65.0,1.0,188.0,1022.0,5.0,Dog,23.588329220496444
52,0,4.0,2.0,87.87,87.87,1.0,87.0,87.0,87.0,Nothing,113.80448389666553
53,0,9.0,0.0,169.0,60.0,4.0,100.0,300.0,5.0,student in nthu,21.007667798746546
54,0,1.0,1.0,187.0,87.0,4.0,87.0,9487.0,5.9487,I'm a 87.,24.879178701135288
55,0,4.0,1.0,180.0,88.0,5.0,200.0,888.0,1.0,"I'm a ""Typical Lady"".",27.160493827160494
56,0,5.8,1.0,172.6,56.0,3.0,154.8,589.0,0.0,I am so cuuuuuuute!,18.797774880533428
57,0,7.0,1.0,188.77,87.59487,5.0,50.87,9487.0,8.74,Let's party!,24.581745656421262
58,0,6.2,1.0,176.0,73.8,3.0,87.0,300.0,1354.4,Desperate,23.824896694214875
59,0,11.0,1.0,174.0,76.5,3.0,120.0,555.0,0.0,I am alive.,25.267538644470868
60,0,4.0,0.0,178.0,85.0,3.0,120.0,653.0,30.8,Fuck off,26.82742078020452
61,0,10.0,0.0,178.0,45.0,4.0,200.0,500.0,1.0,Good,14.202752177755334
62,0,9.0,1.0,170.0,1.0,4.0,50.0,1.0,5000.0,Reallll sheet,0.34602076124567477
63,0,7.0,0.0,175.0,65.0,5.0,120.0,572.0,3.0,Fabulous.,21.224489795918366
64,0,5.0,1.0,175.0,73.0,4.0,120.0,200.0,3.0,handsome,23.836734693877553
65,0,7.0,0.0,166.0,90.0,1.0,170.0,20000.0,0.0,ass,32.660763536072004
66,0,9.0,1.0,162.0,50.0,5.0,120.0,115.0,20.0,I am smart,19.05197378448407
67,0,7.0,0.0,175.0,70.0,4.0,180.0,1186.0,50.0,Cool and smart,22.857142857142858
68,0,2.0,1.0,160.0,50.0,4.0,180.0,100.0,3.0,Normal,19.531249999999996
69,0,7.0,0.0,172.0,58.0,4.0,112.0,343.0,0.5,Iâ€™m good.,19.60519199567334
70,0,4.0,1.0,161.0,46.0,4.0,100.0,200.0,3.0,Cute,17.746228926353147
71,0,5.0,1.0,158.0,53.0,2.0,100.0,600.0,11.78,Allergic to humans.,21.230572023714146
72,0,2.0,0.0,218.0,50.0,4.0,200.0,0.0,1000.0,Ez game Ez life,10.520999915831998
73,0,11.0,0.0,174.0,73.0,5.0,120.0,200.0,30.0,Interesting person.,24.111507464658473
74,0,7.0,1.0,168.4,60.0,3.2,87.0,10.0,83.98,mumi,21.157632827618887
75,0,4.0,0.0,161.0,43.0,3.0,100.0,300.0,0.65,I get a cold,16.58886617028664
76,0,9.0,1.0,156.0,50.0,5.0,120.0,484.0,5.0,Amazing,20.5456936226167
77,0,7.0,1.0,178.0,74.0,3.8,87.0,878.0,87.0,High,23.355636914530994
78,0,6.2,0.0,173.0,58.0,4.0,118.6,2e+97,2.0,I am a girl.,19.37919743392696
79,0,3.0,0.2,171.2,63.0,4.0,135.9998,500.0,3048.2,I good,21.49478120359857
80,0,4.0,1.0,174.0,58.0,4.0,110.0,264.0,0.4,Lazy,19.157088122605362
81,0,8.0,1.0,160.0,54.0,2.0,130.0,564.0,3.0,I am lazy.,21.093749999999996
82,0,9.0,0.0,176.0,76.0,4.0,128.0,850.0,20.0,Outgoing,24.535123966942148
83,0,7.0,1.0,168.0,75.0,5.0,160.0,500.0,50.0,A good man.,26.573129251700685
84,0,10.0,0.0,172.0,57.0,1.0,51.0,199.0,200.0,Being smart is all I have,19.2671714440238
85,0,7.0,0.0,175.0,63.0,5.0,180.0,1000.0,5.0,Iâ€™m handsome.,20.571428571428573
86,0,10.0,1.0,180.0,80.0,4.0,100.0,600.0,40.0,"I AM A BIG MAN, BUT ALSO SAMLL.",24.691358024691358
87,0,0.0,1.0,168.0,55.0,4.0,180.0,567.0,23.0,Very nice.,19.48696145124717
88,0,3.0,0.0,170.0,56.0,4.0,180.0,494.0,9.2,Awesome!,19.377162629757787
89,0,8.0,1.0,200000.0,450000.0,2.0,180.0,345000000.0,3.34482e-05,I am so cute,0.1125
90,0,2.0,0.0,173.0,70.0,5.0,180.0,85.0,3.0,I think I am handsome,23.38868655818771
91,0,7.0,0.0,165.8,56.4,3.0,111.0,400.0,1470.04,I am a positive person.,20.516820154792857
92,0,2.0,1.0,183.0,75.0,2.0,87.0,500.0,22.8,"I'm fine thank you,and you?",22.395413419331717
93,0,5.0,0.0,1.84467e+21,1.8446700000000003e+30,1.0,200.0,1e+28,8.4,Plz do not delete my data.,5.421023814557618e-09
94,0,1.0,0.0,172.0,60.0,3.0,120.0,550.0,16.0,Iâ€™m really hungry,20.281233098972418
95,0,1.0,0.0,175.0,65.0,4.0,69.0,653.0,30.0,Yummy,21.224489795918366
96,0,9.0,1.0,170.0,56.0,2.0,90.0,813.0,17.5,Black,19.377162629757787
97,0,0.0,0.0,170.0,54.0,5.0,100.0,666.0,99.0,wee~,18.68512110726644
98,0,7.0,1.0,185.0,65.0,3.0,180.0,835.0,1.5,I'm so handsome.,18.991964937910883
99,0,8.0,0.0,173.0,55.0,3.0,50.0,1100.0,1.0,Hello,18.376825152861773
100,0,2.0,0.0,173.0,53.0,1.0,200.0,1000.0,25.0,im cute,17.70857696548498
101,0,9.0,1.0,170.0,65.0,4.0,120.0,709.0,1.0,Peace,22.49134948096886
102,0,6.0,1.0,169.0,82.0,4.0,160.0,2e+97,3.0,Try,28.71047932495361
103,0,5.0,0.0,172.0,90.0,4.0,120.0,100.0,0.3,èªçœŸçš„ç”·äºº,30.42184964845863
104,0,3.0,1.0,173.0,84.0,5.0,150.0,250.0,10.0,é–‹æœ—æ¨‚è§€,28.06642386982525
105,0,0.0,0.0,164.5,53.0,3.0,100.0,283.0,1.0,Smart,19.585924002919413
106,0,9.0,0.0,159.0,56.0,5.0,200.0,150.0,4.0,I am very smart.,22.151022507021082
107,0,5.0,0.0,161.0,49.0,4.0,90.0,100.0,2.0,general,18.90359168241966
108,0,3.0,1.0,165.0,90.0,3.0,150.0,350.0,10.0,Smart,33.057851239669425
109,0,1.0,1.0,193.0,80.0,3.0,80.0,2300.0,0.8,Iâ€™m fine.,21.47708663319821
110,0,9.0,0.0,167.0,59.0,4.0,130.0,150.0,2.0,Smart,21.15529420201513
111,0,0.0,1.0,183.0,72.0,3.0,180.0,250.0,2.0,Perfect man,21.49959688255845
112,0,6.0,1.0,175.0,79.0,4.0,80.0,10.0,0.5,friendly,25.79591836734694
113,0,4.0,0.0,173.0,113.0,4.0,100.0,294.0,20.0,Do it Better,37.75602258678873
114,0,1.0,1.0,174.4,66.0,5.0,80.0,200.0,100.0,I am a student of NCU,21.699562326403502
115,0,9.0,0.0,175.0,69.0,5.0,200.0,366.0,9.0,Walking dead,22.53061224489796
116,0,8.0,0.0,159.0,50.0,4.0,120.0,100.0,64.0,Sexy,19.77769866698311
117,0,1.0,1.0,180.0,80.0,5.0,110.0,139.0,0.5,I am good people,24.691358024691358
118,0,1.0,0.0,172.0,69.0,3.0,51.0,100.0,25.0,Easy going,23.323418063818284
119,0,5.0,1.0,174.0,78.0,1.0,120.0,120.0,8.0,I am best.,25.762980578676178
120,0,0.0,1.0,170.0,65.0,3.0,130.0,277.0,6.0,Hello,22.49134948096886
121,0,4.0,0.0,162.0,59.0,3.0,115.0,223.0,0.017,I am a student.,22.481329065691202
122,0,6.0,0.0,160.0,50.0,4.0,180.0,99.0,10000.0,"My Life , My Style .",19.531249999999996
123,0,6.0,1.0,163.0,50.0,4.0,100.0,150.0,3.0,Enjoying life.,18.818924310286427
124,0,7.0,1.0,172.0,60.0,5.0,112.0,350.0,3.0,Hi,20.281233098972418
125,0,3.0,0.6,180.0,56.2,3.6,108.6,30.0,30.0,boring,17.345679012345677
126,0,2.0,1.0,167.0,79.0,4.0,123.0,457.0,1.0,Done? Not enough.,28.326580372189753
127,0,2.0,1.0,52.0,29.0,1.0,51.0,4.0,970.0,TxT,107.24852071005915
128,0,6.0,0.0,174.0,70.0,4.0,128.0,539.0,110.0,Lost,23.120623596247853
129,0,11.0,0.0,174.0,888.0,1.0,50.0,1.0,40.0,I donâ€™t understand myself.,293.3016250495442
130,0,4.0,0.0,162.0,45.0,3.0,100.0,556.0,0.9,Iâ€™m beautiful.,17.146776406035663
131,0,1.0,0.0,155.0,53.0,4.0,120.0,900.0,1.6,Positive,22.060353798126947
132,0,3.0,0.0,173.0,62.0,5.0,123.0,600.0,35.2,I Good,20.715693808680545
133,0,9.0,1.0,155.0,49.0,2.0,110.0,555.0,9.93,I am a girl,20.39542143600416
134,0,5.0,0.0,164.0,53.0,4.0,120.0,1109.0,18.5,Always optimistic,19.705532421177875
135,0,0.0,1.0,180.0,85.0,4.0,200.0,10.0,1.07,cute,26.234567901234566
136,0,5.0,1.0,177.0,75.0,5.0,100.0,30.0,1.0,Go for your goal.,23.93948099205209
137,0,5.0,0.0,169.0,67.0,5.0,199.0,500.0,100.0,"So smart, so handsome, so good",23.458562375266975
138,0,8.0,0.2,163.6,43.0,2.4,180.0,600.0,9.464,Cute,16.065781529283065
139,0,2.0,0.0,178.0,61.0,5.0,100.0,700.0,20.0,I am not a girl.,19.252619618735007
140,0,11.0,0.0,170.0,65.0,4.0,100.0,892.0,721.0,Never give up,22.49134948096886
141,0,3.0,1.0,166.0,66.0,5.0,100.0,2e+97,15000.0,Absolutely fantastic,23.95122659311947
142,0,9.0,1.0,172.0,58.0,5.0,130.0,709.0,184.0,Work Hard,19.60519199567334
143,0,8.0,1.0,168.0,63.0,5.0,100.0,666.0,35.0,I'm Peter.,22.321428571428577
144,0,5.0,1.0,173.0,75.0,3.0,130.0,402.0,0.09905,Hard working,25.05930702662969
145,0,6.0,1.0,151.0,56.0,5.0,110.0,42.0,0.15,I am a methodical person.,24.560326301478007
146,0,4.0,0.0,170.0,64.0,3.0,120.0,500.0,16.0,iâ€™m a psycho,22.145328719723185
147,0,0.0,0.0,161.0,68.0,3.0,50.0,200.0,0.0,i'm a good person,26.23355580417422
148,0,0.0,1.0,150.0,48.0,2.0,120.0,700.0,0.5,Keep going until reach the goal.,21.333333333333332
149,0,3.0,1.0,165.0,65.0,5.0,120.0,200.0,0.0,Be Funny,23.875114784205696
150,0,6.0,1.0,166.0,60.0,4.0,100.0,0.0,1.02,Low-key,21.773842357381334
151,0,6.0,0.0,174.0,70.0,4.0,128.0,539.0,110.0,Lost,23.120623596247853
152,0,11.0,1.0,166.0,57.0,3.0,130.0,200.0,2.0,Ambitious,20.685150239512268
153,0,7.0,0.0,166.0,64.0,5.0,166.0,700.0,0.0,free,23.225431847873423
154,0,5.0,0.0,152.0,42.0,1.0,200.0,500.0,20.0,Good,18.178670360110804
155,0,0.0,0.0,165.0,62.5,4.0,100.0,1088.0,7.5,humor,22.956841138659325
156,0,7.0,0.0,175.0,3.689340000000001e+29,2.0,180.0,2e+97,2e+21,Nothing is impossible!,1.204682448979592e+29
157,0,8.0,0.0,180.0,77.0,1.0,180.0,1.0,10.0,Good,23.76543209876543
158,0,4.0,0.0,171.0,66.0,5.0,199.0,100000.0,20.0,Live with your faith,22.571047501795427
159,0,7.0,1.0,160.0,49.0,3.0,100.0,500.0,0.0,XD,19.140624999999996
160,0,6.0,0.0,170.0,49.0,4.0,200.0,1000.0,100.0,A bully,16.955017301038065
161,0,4.0,1.0,157.0,46.0,1.0,180.0,700.0,1.04,I am a student.,18.662014686194166
162,0,2.0,0.0,172.0,56.0,2.0,200.0,99999.0,666.0,Ggininder,18.92915089237426
163,0,5.0,1.0,158.0,47.0,2.0,130.0,200.0,3.0,A boring guy,18.82711103989745
164,0,5.0,0.0,170.0,60.0,5.0,100.0,600.0,30.0,No confidence,20.761245674740486
165,0,6.0,1.0,150.0,40.0,1.0,100.0,1100.0,11.0,Beautiful,17.77777777777778
166,0,7.0,1.0,182.0,68.0,3.0,120.0,400.0,4.0,I am a slient man.,20.528921627822726
167,0,5.0,0.0,175.0,60.0,4.0,100.0,100.0,50.0,I donâ€™t know,19.591836734693878
168,0,4.0,0.0,178.0,53.8,3.4,128.6,129.0,140.0,Good!,16.980179270294155
169,0,1.0,0.0,181.0,55.0,1.0,120.0,215.0,465.0,Iâ€™m look like tall and thin.,16.788254326791
170,0,10.0,0.0,175.0,63.0,3.0,140.0,881.0,97.5,Friendly&Charming,20.571428571428573
171,0,1.0,0.0,179.5,60.0,2.0,187.0,693.0,184.0,Outgoing,18.621829439560525
172,0,2.0,0.0,161.5,50.0,3.0,200.0,1711.0,4.0,DCC,19.170125276768683
173,0,1.0,1.0,162.0,50.0,3.0,90.0,400.0,5.0,Work hard,19.05197378448407
174,0,4.0,1.0,158.0,44.0,5.0,120.0,350.0,0.129,Adorable,17.625380547989103
175,0,1.0,0.0,160.0,48.0,5.0,100.0,500.0,20.0,Friendly,18.749999999999996
176,0,8.0,0.0,173.0,53.0,5.0,200.0,600.0,1.0,Not badï¼,17.70857696548498
177,0,1.0,0.0,160.0,45.0,5.0,94.0,955.0,256.0,The dream will lead the way,17.578124999999996
178,0,2.0,0.0,169.0,75.0,2.0,110.0,200.0,6.0,Cool.,26.25958474843318
179,0,10.0,0.0,170.0,90.0,2.0,50.0,100.0,1.0,Stupid,31.14186851211073
180,0,3.0,1.0,158.0,48.0,4.0,120.0,750.0,10.0,handsome,19.227687870533565
181,0,1.0,0.0,163.0,60.0,4.0,180.0,385.0,100.0,I am good.,22.582709172343712
182,0,5.0,1.0,170.0,25.0,2.0,200.0,0.0,500.0,Smart,8.650519031141869
183,0,9.0,0.0,178.0,84.0,2.0,87.0,0.0,2.0,Cool,26.511804065143288
184,0,9.0,0.0,182.0,74.0,2.0,80.0,100.0,4.0,Sleepy,22.34029706557179
185,0,10.0,0.0,163.0,64.0,5.0,100.0,350.0,5.0,Content,24.088223117166624
186,0,6.0,0.0,165.0,50.0,3.0,200.0,500.0,1.0,Cute,18.36547291092746
187,0,0.0,0.0,165.0,58.0,4.0,180.0,250.0,6.8,Cute,21.30394857667585
188,0,11.0,0.0,172.0,68.0,1.0,100.0,10.0,3.0,Nobody nobody,22.985397512168742
189,0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,0.0,,
190,0,1.0,0.0,159.0,40.0,5.0,180.0,2000.0,2.0,free,15.822158933586486
191,0,2.0,0.0,182.0,68.0,1.0,168.0,1303.0,99.2,"Cogito, ergo sum",20.528921627822726
192,0,4.0,1.0,170.0,70.0,5.0,180.0,230.0,39.52,very kind,24.221453287197235
193,0,0.0,0.0,158.0,53.0,3.0,99.0,1080.0,32.0,Entusiasm,21.230572023714146
194,0,7.0,1.0,162.0,55.0,5.0,100.0,60.0,30.0,Funny,20.957171162932475
195,0,4.0,0.0,176.0,78.0,4.0,110.0,1300.0,3.0,Doâ€™nt say too much ï¼ŒJust do it.,25.180785123966942
196,0,7.0,1.0,167.0,52.0,4.0,120.0,320.0,5.0,maymay,18.645344042454013
197,0,7.0,1.0,175.0,65.0,2.0,180.0,1e+98,1e+22,"who am i , loser life.",21.224489795918366
198,0,4.0,0.0,172.0,75.0,2.0,100.0,200.0,5.0,have fun,25.351541373715524
199,0,9.0,1.0,180.0,76.0,3.0,180.0,180.0,6.0,Do,23.456790123456788
200,0,3.0,0.0,168.0,61.0,5.0,89.0,343.0,5.0,Honest,21.612811791383223
201,0,3.0,0.0,155.0,46.0,4.0,200.0,600.0,2.0,passion,19.14672216441207
202,0,11.0,1.0,155.0,40.0,2.0,110.0,300.0,1.0,nice,16.649323621227886
203,0,1.0,0.0,178.0,90.0,2.0,120.0,117.0,0.0,Have Fun!,28.40550435551067
204,0,0.0,1.0,173.0,85.0,5.0,111.0,6.0,0.0,not,28.40054796351365
205,0,2.0,1.0,172.0,55.0,5.0,148.0,575.0,0.436,I'm tall and wise.,18.591130340724717
